id,nickname,job,combat_power,magic_resistance,life_energy,charm,intro,levels,daily_checks,weekly_checks,raid_checks,created_at,updated_at,trade_checks,contribution,is_main,owner,sort_order,alias,rankings,last_active_at
1,한설,댄서,111646,5872,28506,47603,,"{""궁수"":65,""기사"":0,""댄서"":65,""도적"":65,""사제"":35,""악사"":65,""전사"":50,""힐러"":1,""검술사"":44,""격투가"":53,""마법사"":35,""수도사"":50,""장궁병"":1,""대검전사"":50,""빙결술사"":51,""석궁사수"":50,""암흑술사"":1,""음유시인"":53,""전격술사"":35,""화염술사"":35,""듀얼블레이드"":50}",[],"{""normal"":[8,7,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,9,11]",2026-07-21 15:23:55.292779+00,2026-09-17 14:00:25.805+00,{},47763,true,한설,0,한설,"{""TELOS"":{""deian"":3578,""overall"":23244},""KRATOS"":{""deian"":2749,""overall"":17781},""TECHNE"":{""deian"":18978,""overall"":125523},""HARMONIA"":{""deian"":4814,""overall"":31429}}",2026-08-26 05:45:02.219195+00
3,영겁,화염술사,95726,3128,25677,24603,,"{""궁수"":1,""기사"":1,""댄서"":1,""도적"":40,""사제"":1,""악사"":1,""전사"":40,""힐러"":45,""검술사"":40,""격투가"":1,""마법사"":65,""수도사"":1,""장궁병"":1,""대검전사"":40,""빙결술사"":65,""석궁사수"":50,""암흑술사"":1,""음유시인"":1,""전격술사"":1,""화염술사"":65,""듀얼블레이드"":40}",[],"{""normal"":[19,7],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[8],2026-07-22 11:10:17.699394+00,2026-09-17 13:57:17.667+00,{},47763,false,한설,1,영겁,"{""TELOS"":{""deian"":19439,""overall"":132531},""KRATOS"":{""deian"":17499,""overall"":118443},""TECHNE"":{""deian"":28173,""overall"":190304},""HARMONIA"":{""deian"":33565,""overall"":231241}}",2026-08-26 05:45:02.219195+00
5,순월,검술사,91741,2060,27336,28095,,"{""궁수"":1,""기사"":1,""댄서"":1,""도적"":1,""사제"":1,""악사"":1,""전사"":1,""힐러"":1,""검술사"":65,""격투가"":1,""마법사"":1,""수도사"":1,""장궁병"":1,""대검전사"":65,""빙결술사"":1,""석궁사수"":1,""암흑술사"":1,""음유시인"":1,""전격술사"":1,""화염술사"":1,""듀얼블레이드"":1}",[],"{""normal"":[8,7],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-07-22 11:10:33.219824+00,2026-09-17 13:57:14.931+00,{},47763,false,한설,2,순월,"{""TELOS"":{""deian"":18719,""overall"":127333},""KRATOS"":{""deian"":23472,""overall"":160013},""TECHNE"":{""deian"":22597,""overall"":150879},""HARMONIA"":{""deian"":25773,""overall"":176396}}",2026-08-26 05:45:02.219195+00
6,쌍월,장궁병,95336,3128,27259,30596,,"{""궁수"":1,""기사"":1,""댄서"":1,""도적"":1,""사제"":1,""악사"":1,""전사"":1,""힐러"":1,""검술사"":1,""격투가"":1,""마법사"":1,""수도사"":1,""장궁병"":1,""대검전사"":1,""빙결술사"":1,""석궁사수"":1,""암흑술사"":1,""음유시인"":1,""전격술사"":1,""화염술사"":1,""듀얼블레이드"":1}",[],"{""normal"":[8,7],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-07-22 11:10:41.264245+00,2026-09-17 13:57:16.725+00,{},47763,false,한설,3,쌍월,"{""TELOS"":{""deian"":15134,""overall"":102701},""KRATOS"":{""deian"":18170,""overall"":122902},""TECHNE"":{""deian"":22845,""overall"":152678},""HARMONIA"":{""deian"":22155,""overall"":149638}}",2026-08-26 05:45:02.219195+00
7,먀치,기사,96261,3540,25483,24096,다섯째 먀치 기사로써 상시 대기중!,"{""궁수"":1,""기사"":1,""댄서"":1,""도적"":1,""사제"":1,""악사"":1,""전사"":1,""힐러"":1,""검술사"":1,""격투가"":1,""마법사"":1,""수도사"":1,""장궁병"":1,""대검전사"":1,""빙결술사"":1,""석궁사수"":1,""암흑술사"":1,""음유시인"":1,""전격술사"":1,""화염술사"":1,""듀얼블레이드"":1}",[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[6,4,5,7]",2026-07-22 11:10:44.028569+00,2026-09-17 13:57:11.282+00,{},47763,false,한설,4,먀치,"{""TELOS"":{""deian"":19551,""overall"":133256},""KRATOS"":{""deian"":16653,""overall"":112650},""TECHNE"":{""deian"":28868,""overall"":195191},""HARMONIA"":{""deian"":35000,""overall"":241149}}",2026-08-26 05:45:02.219195+00
9,탄월,도적,96379,2820,25127,27595,,{},[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-07-22 11:11:32.34805+00,2026-09-17 13:57:29.675+00,{},47763,false,한설,5,탄월,"{""TELOS"":{""deian"":17551,""overall"":119115},""KRATOS"":{""deian"":16433,""overall"":111322},""TECHNE"":{""deian"":30245,""overall"":204391},""HARMONIA"":{""deian"":26637,""overall"":182766}}",2026-08-26 05:45:02.219195+00
61,제스,사제,110672,4876,27718,50113,,"{""궁수"":50,""기사"":55,""댄서"":55,""도적"":65,""사제"":65,""악사"":50,""전사"":65,""힐러"":50,""검술사"":65,""격투가"":65,""마법사"":55,""수도사"":50,""장궁병"":50,""대검전사"":65,""빙결술사"":55,""석궁사수"":50,""암흑술사"":50,""음유시인"":65,""전격술사"":50,""화염술사"":50,""듀얼블레이드"":50}",[],"{""normal"":[7,19,6,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,8,9,10]",2026-08-08 14:24:45.302129+00,2026-09-17 13:57:23.548+00,{},42770,true,제스,0,,"{""TELOS"":{""deian"":3399,""overall"":22164},""KRATOS"":{""deian"":3226,""overall"":21115},""TECHNE"":{""deian"":21307,""overall"":142233},""HARMONIA"":{""deian"":2868,""overall"":18000}}",2026-08-26 05:45:02.219195+00
69,신파랑,대검전사,107032,5604,15836,45220,비켜 여긴 내 관짝이야,"{""궁수"":45,""기사"":65,""댄서"":65,""도적"":65,""사제"":50,""악사"":65,""전사"":45,""힐러"":65,""검술사"":45,""격투가"":65,""마법사"":50,""수도사"":46,""장궁병"":50,""대검전사"":65,""빙결술사"":65,""석궁사수"":45,""암흑술사"":50,""음유시인"":45,""전격술사"":50,""화염술사"":45,""듀얼블레이드"":45}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 14:31:41.671975+00,2026-09-17 13:57:15.863+00,{},51611,true,신파랑,0,,"{""TELOS"":{""deian"":8937,""overall"":60109},""KRATOS"":{""deian"":4961,""overall"":33061},""TECHNE"":{""deian"":78955,""overall"":540720},""HARMONIA"":{""deian"":7054,""overall"":46083}}",2026-08-26 05:45:02.219195+00
83,수도사는수도사,수도사,104646,4848,25353,41315,,"{""궁수"":59,""댄서"":65,""도적"":45,""사제"":40,""악사"":42,""전사"":41,""힐러"":50,""검술사"":40,""격투가"":41,""마법사"":59,""수도사"":65,""장궁병"":60,""대검전사"":59,""빙결술사"":40,""석궁사수"":40,""암흑술사"":2,""음유시인"":59,""전격술사"":50,""화염술사"":41,""듀얼블레이드"":40}",[],"{""normal"":[7,8,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,10,9,8]",2026-08-08 16:07:06.858163+00,2026-09-17 13:57:14.467+00,{},39320,false,수도사는수도사,0,,"{""TELOS"":{""deian"":7933,""overall"":53065},""KRATOS"":{""deian"":6469,""overall"":43623},""TECHNE"":{""deian"":29350,""overall"":198504},""HARMONIA"":{""deian"":11936,""overall"":78732}}",2026-08-26 05:45:02.219195+00
84,화연,힐러,102599,3980,17992,40870,,"{""궁수"":53,""기사"":53,""댄서"":53,""도적"":53,""사제"":65,""악사"":65,""전사"":53,""힐러"":65,""검술사"":53,""격투가"":53,""마법사"":53,""수도사"":65,""장궁병"":53,""대검전사"":53,""빙결술사"":53,""석궁사수"":50,""암흑술사"":53,""음유시인"":53,""전격술사"":53,""화염술사"":53,""듀얼블레이드"":53}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-08 16:21:45.017532+00,2026-09-17 13:57:32.028+00,{},32882,true,화연,0,,"{""TELOS"":{""deian"":11259,""overall"":76512},""KRATOS"":{""deian"":8276,""overall"":55930},""TECHNE"":{""deian"":64298,""overall"":441260},""HARMONIA"":{""deian"":12565,""overall"":82948}}",2026-08-26 05:45:02.219195+00
