id,content_type,content_name,difficulty,min_cp,rec_cp,op_cp,created_at
1,raid,카브락,입문,65000,72000,82500,2026-09-03 11:26:20.24545+00
2,raid,카브락,어려움,90000,95000,109000,2026-09-03 11:26:20.24545+00
3,raid,에이렐,어려움,43500,50000,57500,2026-09-03 11:26:20.24545+00
4,raid,화이트 서큐버스,어려움,0,27000,31100,2026-09-03 11:26:20.24545+00
5,raid,화이트 서큐버스,매우 어려움,50000,57500,64000,2026-09-03 11:26:20.24545+00
6,abyss,어비스 3종 (통합),입문,50000,56000,64500,2026-09-03 11:26:20.24545+00
7,abyss,어비스 3종 (통합),어려움,63000,66000,75000,2026-09-03 11:26:20.24545+00
8,abyss,어비스 3종 (통합),매우 어려움,76000,80000,92000,2026-09-03 11:26:20.24545+00
9,abyss,어비스 3종 (통합),지옥1,87500,92000,105000,2026-09-03 11:26:20.24545+00
10,abyss,어비스 3종 (통합),지옥2,95000,100000,115000,2026-09-03 11:26:20.24545+00
