id,name,icon,is_active,created_at
1,전사,⚔️,true,2026-07-24 07:52:37.334442+00
2,대검전사,🗡️,true,2026-07-24 07:52:37.334442+00
3,검술사,🤺,true,2026-07-24 07:52:37.334442+00
4,기사,🛡️,true,2026-07-24 07:52:37.334442+00
5,마법사,🪄,true,2026-07-24 07:52:37.334442+00
6,화염술사,🔥,true,2026-07-24 07:52:37.334442+00
7,빙결술사,❄️,true,2026-07-24 07:52:37.334442+00
8,전격술사,⚡,true,2026-07-24 07:52:37.334442+00
9,궁수,🏹,true,2026-07-24 07:52:37.334442+00
10,장궁병,🎯,true,2026-07-24 07:52:37.334442+00
11,석궁사수,🔫,true,2026-07-24 07:52:37.334442+00
12,음유시인,🎵,true,2026-07-24 07:52:37.334442+00
13,댄서,💃,true,2026-07-24 07:52:37.334442+00
14,악사,🎸,true,2026-07-24 07:52:37.334442+00
15,힐러,💖,true,2026-07-24 07:52:37.334442+00
16,사제,🕊️,true,2026-07-24 07:52:37.334442+00
17,수도사,🙏,true,2026-07-24 07:52:37.334442+00
18,암흑술사,🌑,true,2026-07-24 07:52:37.334442+00
19,도적,🥷,true,2026-07-24 07:52:37.334442+00
20,격투가,🥊,true,2026-07-24 07:52:37.334442+00
21,듀얼블레이드,⚔️,true,2026-07-24 07:52:37.334442+00
