id,type,name,max_count,is_active,created_at,mobile_name
1,daily,일일 미션,1,true,2026-07-24 07:52:37.334442+00,
2,daily,일일 검은 구멍,1,true,2026-07-24 07:52:37.334442+00,
3,daily,요일 던전,1,true,2026-07-24 07:52:37.334442+00,
4,daily,일일 아르바이트,1,true,2026-07-24 07:52:37.334442+00,일일 알바
5,daily,심층 던전,1,true,2026-07-24 07:52:37.334442+00,
6,weekly,필드 보스,1,true,2026-07-24 07:52:37.334442+00,
7,weekly,심층 던전 [매우 어려움],1,true,2026-07-24 07:52:37.334442+00,심던 매우 어렴
8,weekly,[주간 목표] 정기 의뢰,1,true,2026-07-24 07:52:37.334442+00,주간 정기 의뢰
9,repeat,검은 구멍,7,true,2026-07-24 07:52:37.334442+00,
10,repeat,결계,7,true,2026-07-24 07:52:37.334442+00,
11,repeat,뱅가드 브리치,3,true,2026-07-24 07:52:37.334442+00,
19,weekly,[멤버십] 주간 아르바이트,1,true,2026-08-09 06:22:59.982697+00,멤버십 알바
21,weekly,국경 수비대 물자 보급,1,true,2026-08-16 08:54:22.34027+00,국경 물자 보급
