id,map,npc,reward,reward_cnt,cost,cost_cnt,limit,reset_type,scope,created_at
1,두갈드아일,앨빈,상급 목재,4,야채 볶음,1,2,일간,캐릭당,2026-08-09 04:51:29.956844+00
3,반호르,아이데른,은합금괴,10,농어매운탕,1,1,주간,캐릭당,2026-08-17 09:34:42.116227+00
6,이멘마하,델렌,최상급목제,1,호박 수프,2,2,주간,캐릭당,2026-08-17 11:07:00.660169+00
7,이멘마하,델렌,최상급가죽+,1,호박 수프,2,2,주간,캐릭당,2026-08-17 11:08:19.202663+00
8,이멘마하,델렌,특급 가죽,1,오트밀 영양죽,2,2,주간,캐릭당,2026-08-17 11:10:57.023883+00
9,이멘마하,델렌,특급 목재,1,오트밀 영양죽,2,2,주간,캐릭당,2026-08-17 11:11:47.398703+00
10,이멘마하,델렌,데코 제작 부품+(파랑),3,호박 수프,1,2,주간,계정당,2026-08-17 11:13:05.046904+00
11,이멘마하,델렌,상급 데코 제작 부품(보라),3,녹차 크레이프 케이크,2,1,주간,계정당,2026-08-17 11:15:10.705208+00
12,이멘마하,오슬라,운철괴,1,카레라이스,2,2,주간,캐릭당,2026-08-17 11:23:07.857021+00
13,이멘마하,오슬라,백금강괴,1,매콤 파프리카 스튜,2,2,주간,캐릭당,2026-08-17 11:23:52.561384+00
14,티르코네일,케이틴,케이틴 특제 통밀빵,3,우유,10,1,일간,캐릭당,2026-08-17 11:40:45.244565+00
15,티르코네일,엔델리온,성수,10,케이틴 특제 통밀빵,10,1,일간,계정당,2026-08-17 11:42:55.196912+00
16,티르코네일,메이븐,성수,1,케이틴 특제 통밀빵,1,1,일간,계정당,2026-08-17 11:44:11.442925+00
17,이멘마하,고든,밀가루,10,쌀,30,5,주간,캐릭당,2026-08-17 12:02:18.870695+00
