id,character_id,character_nickname,combat_power,life_energy,charm,week_start_date,created_at
1,5,순월,82980,23983,27111,2026-08-09,2026-08-09 16:46:31.694567+00
2,84,화연,97857,17710,40385,2026-08-09,2026-08-09 16:46:32.201992+00
3,89,전당포아저씨,83764,21935,21710,2026-08-09,2026-08-09 16:46:32.731728+00
4,6,쌍월,92368,24067,29361,2026-08-09,2026-08-09 16:46:33.243257+00
5,3,영겁,91281,20594,26361,2026-08-09,2026-08-09 16:56:07.747597+00
6,100,엘비라,94405,24160,21618,2026-08-09,2026-08-09 16:56:08.330977+00
8,132,곰탕,27782,5435,9599,2026-08-09,2026-08-09 16:56:09.401871+00
10,237,이당지,74324,25146,16967,2026-08-09,2026-08-09 16:56:10.654393+00
11,138,참이맛감자탕,83309,25903,21915,2026-08-09,2026-08-09 16:56:11.16823+00
12,183,맛춘법,95288,17648,47249,2026-08-09,2026-08-09 16:56:11.667182+00
13,107,가열,9793,13018,5884,2026-08-09,2026-08-09 16:56:12.810281+00
14,108,일명,22069,13765,8957,2026-08-09,2026-08-09 16:56:13.330939+00
15,9,탄월,91732,20724,27361,2026-08-09,2026-08-09 16:56:13.843811+00
16,109,화선연,12576,13189,6707,2026-08-09,2026-08-09 16:56:14.941569+00
17,153,곰탕맛솜사탕,85583,23812,28030,2026-08-09,2026-08-09 16:56:15.7639+00
18,61,제스,102338,27438,51818,2026-08-09,2026-08-09 16:56:16.573125+00
19,1,한설,100189,24673,47363,2026-08-09,2026-08-09 16:56:17.097616+00
20,69,신파랑,97632,15666,48005,2026-08-09,2026-08-09 16:56:17.604273+00
21,163,GOMTANG,84029,24467,16915,2026-08-09,2026-08-09 16:56:18.134478+00
22,177,치즈닭도리탕,78168,24623,14864,2026-08-09,2026-08-09 16:56:18.661901+00
23,173,반달곰탕,88443,25490,38714,2026-08-09,2026-08-09 16:56:19.182027+00
24,83,수도사는수도사,99161,24073,44085,2026-08-09,2026-08-09 16:56:19.691801+00
25,7,먀치,91749,20549,23861,2026-08-09,2026-08-09 16:56:20.232299+00
26,230,김당지,97635,26584,41344,2026-08-09,2026-08-09 16:56:20.750129+00
27,88,조로의일대삼천대천세계,78527,21389,21960,2026-08-09,2026-08-09 16:56:21.270129+00
28,91,사스케의딸깍,83584,21998,22460,2026-08-09,2026-08-09 16:56:21.795905+00
29,93,스쿠나의딸깍,83494,22110,13060,2026-08-09,2026-08-09 16:56:22.314+00
30,231,최당지,83672,25595,19817,2026-08-09,2026-08-09 16:56:22.818829+00
33,90,황충의딸깍,72621,22520,18960,2026-08-09,2026-08-09 16:56:24.378609+00
